stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
121,ท่าเรือวัดวรจรรยาวาส;Wat Worachanyawas Pier,13.70938748,100.5068283,121,2
122,ท่าเรือวัดราชสิงขร;Wat Rajchasingkorn Pier,13.7065289,100.5038953,122,2
123,ท่าเรือกระทรวงพาณิชย์;Ministry of Commerce Pier,13.88461583,100.4864023,123,2
124,ท่าเรือวัดกลางเกร็ด;Wat Klangkret Pier,13.90461341,100.4915632,124,2
125,ท่าเรือปากเกร็ด;Pakkret Pier,13.9154546,100.4947788,125,2
126,ท่าเรือสาทร (ข้ามฟาก);Sathon Pier (Ferry),13.71931795,100.5129021,126,2
127,ท่าเรือสี่พระยา (ข้ามฟาก);Si Phraya Pier (Ferry),13.72925712,100.5129471,127,2
128,ท่าเรืออัษฎางค์ (ปากคลองตลาด) (ข้ามฟาก);Asdand Pier (Ferry),13.74139031,100.494305,128,2
130,ท่าเรือนนทบุรี (ข้ามฟาก);Nonthaburi Pier (Ferry),13.84213749,100.4909013,130,2
131,ท่าเรือเทศบาลบางศรีเมือง (ข้ามฟาก);Bang Sri Mueang Municipality Pier (Ferry),13.84192231,100.4892424,131,2
132,ท่าเรือวัดอาวุธวิสิตาราม (ท่าวัดอาวุธฯ) (ข้ามฟาก);Wat Awutvikasitara Pier (Ferry),13.78947785,100.5069342,132,2
133,ท่าเรือพายัพ (ข้ามฟาก);Payap Pier (Ferry),13.78747174,100.5082197,133,2
134,ท่าเรือวัดบวรมงคล (ข้ามฟาก);Wat buanmongkhon Pier (Ferry),13.77424062,100.4981064,134,2
135,ท่าเรือวัดคฤหบดี (ข้ามฟาก);Wat Kharue Habodi Pier (Ferry),13.77196345,100.4970613,135,2
136,ท่าเรือวัดระฆัง (ข้ามฟาก);Wat Rakang Pier (Ferry),13.75250452,100.4865974,136,2
137,ท่าเรือมหาราช (ข้ามฟาก);Tha Maharaj Pier (Ferry),13.75520198,100.4885913,137,2
138,ท่าเรือสะพานตากสิน (ข้ามฟาก);Taksin Bridge Pier (Ferry),13.72012766,100.5112117,138,2
139,ท่าเรือวัดสุวรรณ (ข้ามฟาก);Wat Suwan Pier (Ferry),13.7240863,100.5118722,139,2
140,ท่าเรือรถไฟคลองสาน (ข้ามฟาก);Klong San Pier (Ferry),13.72905551,100.5115714,140,2
141,ท่าเรือสวัสดี (ข้ามฟาก);Sawaddee Pier (Ferry),13.7362038,100.5092624,141,2
142,ท่าเรือวัดทองธรรมชาติ (ข้ามฟาก);Wat Thongthummachat Pier (Ferry),13.73516388,100.5082696,142,2
143,ท่าราชวงศ์ (ข้ามฟาก);Ratchawong Pier (Ferry),13.73846699,100.5045658,143,2
144,ท่าเรือรถไฟ (ข้ามฟาก);Thonburi Railway Station Pier (Ferry),13.75923167,100.4875378,144,2
145,ท่าเรือวัดกัลยาณมิตร (ข้ามฟาก);Wat Kalayanamit Pier (Ferry),13.74054972,100.492635,145,2
146,ท่าเรือท่าเตียน (ข้ามฟาก);Tha Tien Pier (Ferry),13.74615072,100.4900866,146,2
148,ท่าเรือคลองเตย (ข้ามฟาก);Klongtoey Pier (Ferry),13.70723997,100.5636485,148,2
149,ท่าเรือทั่วไป (ข้ามฟาก);thua Pai Pier (Ferry),13.70441413,100.5628718,149,2
150,ท่าเรือพระราม 3 (ข้ามฟาก);Rama 3 Pier (Ferry),13.67032567,100.5384244,150,2
151,ท่าเรือคลองลัดโพธิ์ (ข้ามฟาก);Klong Latpho Pier (Ferry),13.66797386,100.5387127,151,2
152,ท่าเรือวัดบางพึ่ง (ข้ามฟาก);Wat Bang Phueng Pier (Ferry),13.67511358,100.5235582,152,2
153,ท่าเรือคลองลัดหลวง (ข้ามฟาก);Klong Latluang Pier (Ferry),13.67000119,100.5277931,153,2
154,ท่าเรือวัชรีวงศ์ (ข้ามฟาก);Watchareewong Pier (Ferry),13.91644002,100.4935751,154,2
155,ท่าเรือวัดเตย (ข้ามฟาก);Wat Toey Pier (Ferry),13.91784752,100.49516,155,2
156,ท่าเรือวัดอรุณราชวราราม (ท่าวัดอรุณฯ) (ข้ามฟาก);Wat Arun Ratchawararam Pier (Ferry),13.74499425,100.4891622,156,2
157,ท่าเรือดินแดง (ข้ามฟาก);Dindang Pier (Ferry),13.73693561,100.5039181,157,2
158,ท่าโอเรียนเต็ล (ข้ามฟาก);Oriental Pier (Ferry),13.72333295,100.5135683,158,2
159,ท่าเรือวัดบางนานอก (ข้ามฟาก);Wat Bangnanok Pier (Ferry),13.67656424,100.5874166,159,2
160,ท่าเรือวัดบางน้ำผึ้งนอก (ข้ามฟาก);Wat Bangnamphuengnok Pier (Ferry),13.6824733,100.5872285,160,2
161,ท่าเรือเภตรา (ข้ามฟาก);PheTra Pier (Ferry),13.65711205,100.5373535,161,2
162,ท่าเรือพระประแดง (ข้ามฟาก);Phrapadang Pier (Ferry),13.65847877,100.5350032,162,2
163,ท่าเรือท่าช้าง (ข้ามฟาก);Tha Chang Pier (Ferry),13.75240421,100.4882278,163,2
164,ท่าเรือเทเวศร์ (ข้ามฟาก);Thewet Pier (Ferry),13.77211227,100.5002733,164,2
165,ท่าเรือพระจันทร์ (ข้ามฟาก);Tha Phra Chan Pier (Ferry),13.75659352,100.4887633,165,2
166,ท่าเรือพรานนก (วังหลัง) (ข้ามฟาก);Phannok (Wang Lang) Pier (Ferry),13.75595262,100.4868626,166,2
167,ท่าเรือสาธุประดิษฐ์ (ข้ามฟาก);Sathupradit Pier (Ferry),13.67697373,100.5272094,167,2
168,ท่าปากเกร็ด (ข้ามฟาก);Pakkret Pier (Ferry),13.91546339,100.4947795,168,2
169,ท่าเรือวิบูลย์ศรี (ข้ามฟาก);Wiboon Si Pier (Ferry),13.59491353,100.5955091,169,2
170,ท่าเรือพระสมุทรเจดีย์ (ข้ามฟาก);Phra Samut Chedi Pier (Ferry),13.59713755,100.5867292,170,2
171,ท่าเรือผ่านฟ้าลีลาศ;Panfa Leelard Pier,13.75552921,100.5063291,171,2
172,ท่าเรือตลาดโบ๊เบ๊;Bobae Market Pier,13.75343478,100.5159417,172,2
173,ท่าเรือสะพานเจริญผล;Charoen Phon Bridge Pier,13.74981112,100.5243158,173,2
174,ท่าเรือสะพานหัวช้าง;Saphan Hua Chang Pier,13.74919555,100.5308909,174,2
175,ท่าเรือประตูน้ำ;Pratunam Pier,13.74923086,100.5415072,175,2
176,ท่าเรือชิดลม;Chidlom Pier,13.74869323,100.5445559,176,2
177,ท่าเรือสะพานวิทยุ;Witthayu Bridge Pier,13.74828257,100.5482704,177,2
178,ท่าเรือนานาเหนือ;Nana Nuea Pier,13.74825007,100.5539952,178,2
179,ท่าเรือนานาชาติ;Nana Chard Pier,13.74836248,100.5591482,179,2
180,ท่าเรืออโศก;Asok Pier,13.74787615,100.5629076,180,2
181,ท่าเรือมศว.ประสานมิตร;Prasan Mit Pier,13.74731189,100.565819,181,2
182,ท่าเรืออิตัลไทย;Ital-Thai Tower Pier,13.74593252,100.573476,182,2
183,ท่าเรือสุเหร่าบ้านดอน;Baan Don Mosque Pier,13.74415652,100.5814449,183,2
184,ท่าเรือทองหล่อ;Thong Lo Pier,13.74319326,100.5858405,184,2
185,ท่าเรือชาญอิสระ;Charn Issara Pier,13.74271528,100.5884157,185,2
186,ท่าเรือร.ร.วิจิตร;Vijit School Pier,13.74152566,100.5940791,186,2
187,ท่าเรือสะพานคลองตัน;Klong Tan Pier,13.7419392,100.5982991,187,2
188,ท่าเรือราม 1;Ram 1 Pier,13.74332744,100.5989052,188,2
